,0,Y,2,3,4,5,6,7,8,X
0,0.311,-0.365,0.327,0.383,-0.519,-0.015,-0.713,0.183,0.515,0.951
1,0.125,0.657,-0.097,-0.341,-0.807,-0.527,-0.027,0.711,0.591,-0.515
2,0.499,-0.307,-0.395,0.067,0.761,-0.147,-0.501,0.015,0.267,0.109
3,-0.337,-0.105,0.455,0.267,-0.091,0.427,0.037,-0.221,-0.455,0.157
4,-0.139,-0.691,-0.287,-0.383,-0.899,0.415,0.899,-0.771,-0.593,-0.049
5,0.299,0.367,-0.505,0.855,0.399,-0.297,-0.883,0.867,0.973,-0.627
6,-0.451,-0.335,0.761,0.725,-0.293,0.469,-0.643,-0.241,-0.459,-0.075
7,-0.231,-0.951,-0.649,0.697,0.977,0.669,-0.985,-0.981,-0.839,0.191
8,-0.349,-0.193,0.141,0.169,-0.373,0.373,0.143,-0.243,-0.381,0.475
9,0.421,-0.403,0.867,0.151,0.597,-0.027,-0.633,0.225,0.369,0.219
10,-0.151,0.679,0.549,0.047,-0.319,-0.395,-0.687,0.433,0.581,-0.797
11,-0.709,-0.385,-0.727,0.505,-0.493,0.755,0.339,-0.447,-0.851,0.637
12,-0.605,-0.747,-0.733,0.619,-0.219,0.957,0.661,-0.971,-0.985,0.105
13,-0.101,0.715,0.545,-0.773,-0.611,-0.413,0.601,0.299,0.543,-0.525
14,0.463,0.845,0.477,-0.623,0.741,-0.789,-0.101,0.313,0.703,-0.469
15,0.507,-0.429,-0.235,0.761,0.139,-0.177,-0.969,0.213,-0.555,0.557
16,0.657,-0.345,-0.469,-0.419,-0.581,-0.277,0.187,0.191,-0.373,0.959
17,0.805,0.735,0.373,-0.597,0.505,-0.839,-0.581,-0.139,0.823,-0.993
18,-0.009,0.365,-0.233,-0.299,-0.291,-0.473,-0.321,-0.193,-0.451,-0.483
19,0.361,0.267,0.847,-0.631,0.189,-0.317,0.443,-0.703,-0.867,-0.691
20,0.191,0.757,0.527,-0.291,0.099,-0.705,-0.787,0.101,0.921,-0.855
21,-0.023,-0.735,-0.315,0.961,-0.703,0.553,-0.561,-0.879,-0.681,0.673
22,-0.755,0.379,-0.499,0.611,0.095,0.551,0.049,-0.013,0.943,-0.953
23,-0.909,-0.171,-0.017,0.767,-0.587,0.925,0.971,-0.545,-0.407,-0.543
24,-0.847,0.227,0.907,0.271,-0.693,0.869,0.585,0.171,0.663,0.533
25,0.189,0.133,-0.005,-0.083,-0.599,-0.225,0.147,0.809,0.709,0.739
26,0.761,-0.943,-0.221,-0.097,-0.049,-0.173,-0.869,-0.809,-0.657,0.967
27,-0.531,-0.137,0.181,0.835,0.467,0.529,0.215,0.493,0.599,0.369
28,-0.431,0.949,-0.999,-0.329,0.831,-0.045,0.801,0.445,0.653,-0.613
29,0.613,-0.315,0.425,0.423,0.319,-0.159,-0.935,0.491,0.713,0.329
30,-0.413,0.031,0.451,-0.439,-0.625,0.231,0.913,0.303,-0.347,0.231
31,0.695,-0.989,-0.651,-0.181,-0.539,0.175,0.703,-0.979,-0.995,0.999
32,0.165,-0.653,-0.789,0.661,0.769,0.071,-0.589,0.315,-0.425,0.745
33,0.635,-0.331,-0.015,0.249,0.797,-0.215,-0.231,0.987,0.049,0.937
34,-0.229,-0.693,-0.263,0.481,-0.301,0.463,0.031,-0.519,-0.767,0.873
35,-0.507,0.947,0.355,0.353,0.779,-0.125,0.169,0.643,0.607,-0.737
36,-0.913,0.037,0.937,0.439,-0.247,0.485,-0.221,-0.051,0.883,-0.281
37,-0.661,0.443,-0.365,0.883,-0.877,0.295,-0.375,0.655,0.681,-0.229
38,-0.175,0.725,0.857,-0.529,-0.081,-0.249,0.641,0.683,0.617,0.055
39,-0.437,0.933,-0.599,0.227,0.375,-0.299,0.163,0.873,0.523,-0.819
40,0.469,-0.049,0.391,0.263,0.047,-0.199,-0.941,0.441,0.345,-0.147
41,-0.351,-0.039,0.887,0.757,-0.321,0.243,-0.453,0.665,0.481,0.713
42,0.227,0.073,-0.257,-0.475,-0.933,-0.231,0.253,0.055,0.099,0.087
43,0.865,0.345,0.701,-0.897,-0.457,-0.919,-0.759,0.915,0.557,-0.221
44,-0.601,0.539,-0.723,0.191,-0.505,0.211,0.479,0.669,0.075,0.243
45,0.921,0.149,-0.229,-0.593,0.849,-0.943,-0.875,0.343,0.041,0.111
46,-0.867,0.151,-0.979,0.539,-0.567,0.763,0.251,0.105,-0.027,-0.535
47,0.213,0.537,-0.459,-0.313,-0.795,-0.479,-0.223,0.187,0.371,-0.581
48,-0.875,0.807,0.377,0.311,-0.855,0.363,0.613,0.419,0.741,-0.935
49,-0.055,-0.141,0.885,-0.397,0.427,0.159,0.917,0.045,0.827,0.553
50,-0.777,-0.423,-0.739,0.405,0.163,0.973,0.951,-0.307,-0.165,0.725
51,0.705,-0.969,-0.675,-0.927,0.633,-0.227,-0.045,-0.963,-0.955,0.611
52,-0.343,-0.035,-0.613,0.207,-0.759,0.297,0.029,0.043,0.379,0.619
53,-0.665,-0.255,0.127,0.567,-0.655,0.673,-0.479,-0.365,0.085,0.223
54,0.739,0.363,-0.993,-0.969,0.671,-0.901,-0.113,0.367,0.193,0.267
55,0.175,-0.917,0.065,-0.065,-0.205,0.423,0.777,-0.481,-0.273,0.781
56,-0.859,-0.099,0.997,0.501,-0.153,0.861,0.741,0.025,0.119,0.635
57,-0.519,0.893,0.121,0.157,-0.735,-0.109,0.455,0.777,0.493,-0.847
58,-0.347,-0.849,-0.565,0.441,-0.623,0.547,0.207,-0.715,-0.757,0.989
59,-0.689,-0.519,0.629,0.693,-0.145,0.671,0.321,-0.293,-0.117,0.729
60,-0.793,-0.321,-0.137,0.515,0.107,0.927,0.921,-0.351,-0.253,0.093
61,-0.407,-0.377,0.243,0.275,-0.681,0.465,-0.511,0.051,0.427,0.491
62,-0.109,-0.253,-0.917,-0.071,-0.797,0.043,-0.415,-0.047,-0.385,0.717
63,0.915,-0.215,-0.425,-0.891,-0.781,-0.801,-0.623,0.075,0.321,0.681
64,-0.589,0.909,-0.637,0.535,-0.335,-0.133,0.041,0.691,0.483,-0.843
65,-0.201,-0.047,0.745,0.291,0.835,0.305,0.027,-0.997,-0.973,-0.549
66,0.157,0.885,0.731,-0.171,-0.139,-0.595,-0.299,0.617,0.387,-0.925
67,-0.449,0.079,-0.857,0.479,-0.851,0.229,0.317,0.261,-0.063,0.573
68,0.005,0.989,0.977,-0.267,0.673,-0.513,0.697,0.983,0.971,-0.723
69,0.737,0.675,-0.689,-0.497,-0.273,-0.921,-0.461,0.455,0.039,-0.617
70,-0.663,0.545,0.711,0.309,-0.125,-0.065,-0.325,0.651,0.587,-0.555
71,-0.595,-0.263,0.071,0.149,-0.079,0.499,0.191,-0.397,-0.497,0.305
72,-0.399,-0.765,0.371,0.973,-0.279,0.845,0.551,-0.883,-0.809,0.483
73,-0.677,0.147,0.143,0.617,-0.387,0.487,-0.131,-0.547,-0.141,-0.679
74,0.263,0.903,0.689,-0.427,0.591,-0.833,-0.009,0.945,0.955,-0.405
75,-0.853,-0.453,-0.009,0.633,-0.201,0.895,0.581,-0.585,-0.803,0.521
76,0.825,0.677,-0.519,-0.953,0.623,-0.993,-0.697,0.389,0.407,-0.827
77,0.733,0.597,-0.841,-0.831,0.775,-0.623,0.617,0.361,0.185,0.123
78,-0.331,-0.603,0.889,0.093,-0.869,0.721,-0.389,-0.759,-0.427,-0.101
79,-0.911,0.109,0.415,0.523,-0.491,0.779,0.201,-0.165,-0.603,-0.047
80,-0.061,-0.617,-0.803,0.615,-0.323,0.369,-0.155,-0.353,-0.519,0.913
81,-0.273,0.001,0.643,-0.641,-0.819,0.065,0.849,-0.011,-0.053,-0.117
82,-0.737,-0.107,-0.493,0.825,-0.413,0.639,0.669,0.237,-0.095,0.863
83,0.815,0.617,-0.329,-0.031,0.419,-0.807,-0.695,0.955,0.503,-0.655
84,0.259,0.049,-0.065,-0.123,-0.799,-0.235,-0.851,0.127,0.213,-0.235
85,0.923,0.205,0.915,-0.703,0.115,-0.879,-0.525,0.883,0.751,0.129
86,-0.299,0.391,0.667,0.613,-0.031,0.063,-0.549,0.753,0.725,-0.227
87,0.305,-0.055,0.319,-0.095,0.335,-0.193,-0.577,-0.367,0.017,-0.277
88,0.907,-0.113,0.613,-0.525,0.395,-0.701,-0.339,0.625,-0.093,0.603
89,-0.077,0.991,-0.829,-0.339,0.971,-0.617,0.465,0.957,0.383,-0.879
90,0.913,-0.235,-0.201,-0.559,-0.103,-0.687,-0.405,0.165,-0.107,0.841
91,-0.645,-0.323,-0.751,0.495,-0.817,0.781,-0.139,-0.769,-0.351,-0.363
92,0.467,-0.491,0.639,0.921,0.719,0.061,-0.731,-0.525,-0.965,0.027
93,-0.447,0.843,-0.177,-0.147,-0.367,-0.253,0.677,0.289,0.927,-0.801
94,-0.685,0.777,-0.777,0.419,0.213,0.079,0.035,0.605,0.571,-0.703
95,0.817,-0.535,-0.495,-0.847,-0.863,-0.375,0.071,-0.709,-0.461,0.211
96,0.621,-0.059,0.017,-0.727,-0.195,-0.311,0.915,-0.185,0.411,0.143
97,0.321,0.565,-0.357,-0.723,0.195,-0.425,0.813,-0.523,-0.435,-0.899
98,0.363,0.405,-0.719,-0.495,-0.193,-0.679,-0.439,-0.163,0.051,-0.499
99,-0.005,0.603,-0.715,-0.209,0.901,-0.423,-0.019,0.565,0.421,0.017
100,0.633,0.107,0.145,-0.017,-0.337,-0.507,-0.813,0.803,0.733,-0.139
101,-0.529,0.295,-0.987,0.197,-0.649,0.435,0.007,0.029,0.665,-0.729
102,-0.197,0.181,0.501,0.669,0.193,0.267,0.137,0.579,0.223,0.279
103,-0.905,-0.439,-0.757,0.667,-0.277,0.977,0.825,-0.655,-0.847,-0.007
104,-0.295,-0.695,-0.969,0.723,-0.673,0.735,-0.533,-0.893,-0.589,0.405
105,0.377,0.619,0.031,-0.425,-0.371,-0.731,-0.847,-0.055,0.893,-0.887
106,-0.815,-0.131,0.083,0.851,-0.925,0.679,-0.539,-0.371,-0.541,0.317
107,-0.315,0.421,-0.927,-0.063,-0.295,0.161,0.333,-0.455,-0.223,-0.983
108,-0.943,0.525,0.189,0.257,-0.057,0.489,0.755,0.521,0.043,-0.181
109,-0.265,-0.657,-0.973,-0.161,0.471,0.693,0.483,-0.257,-0.943,0.741
110,-0.393,0.123,-0.149,0.027,-0.733,0.323,0.235,-0.399,-0.251,-0.941
111,-0.571,-0.649,-0.615,0.089,0.537,0.879,0.621,-0.361,-0.759,0.653
112,0.119,-0.837,0.151,0.427,0.871,0.407,-0.259,-0.593,-0.521,0.445
113,-0.725,-0.151,0.587,0.911,-0.755,0.851,0.217,-0.725,-0.895,-0.683
114,0.395,-0.795,0.329,0.923,0.913,0.361,-0.309,0.027,0.141,0.901
115,-0.227,0.289,0.905,0.261,0.437,0.035,0.023,-0.419,-0.937,-0.633
116,0.203,0.025,-0.181,0.533,-0.603,-0.101,-0.831,0.545,0.847,-0.327
117,0.933,0.323,-0.399,-0.599,0.973,-0.847,-0.717,0.057,0.059,-0.123
118,0.419,-0.983,0.093,-0.109,0.423,-0.063,-0.153,-0.851,-0.785,0.865
119,0.535,0.485,0.049,-0.893,0.935,-0.781,0.577,0.765,0.573,0.609
120,0.887,-0.179,0.381,-0.807,0.383,-0.813,-0.529,-0.079,-0.113,0.323
121,0.655,-0.707,-0.485,-0.473,0.243,-0.355,-0.491,-0.601,-0.667,0.547
122,-0.291,0.005,0.863,0.993,0.291,0.069,-0.957,0.745,0.797,-0.029
123,-0.765,0.427,-0.381,0.939,-0.721,0.279,-0.047,0.215,0.303,-0.215
124,-0.293,0.511,0.621,-0.307,-0.787,-0.099,0.155,0.943,0.629,0.159
125,0.957,-0.811,0.529,-0.359,0.783,-0.601,-0.959,-0.121,0.009,0.671
126,-0.143,-0.785,0.435,0.775,-0.157,0.541,-0.649,-0.787,-0.993,0.991
127,0.149,0.563,-0.851,-0.279,0.899,-0.427,-0.411,-0.291,0.915,-0.895
128,-0.585,-0.963,-0.359,0.361,0.805,0.941,0.421,-0.943,-0.795,0.977
129,-0.457,-0.625,-0.815,0.995,0.281,0.969,0.239,-0.747,-0.703,0.213
130,-0.807,0.051,0.635,0.077,-0.637,0.603,-0.049,0.297,0.639,0.701
131,0.205,0.471,0.859,-0.125,-0.015,-0.289,-0.237,0.773,0.545,-0.035
132,0.003,-0.409,0.015,0.865,0.237,0.251,-0.353,-0.339,-0.183,0.537
133,0.939,-0.923,0.397,-0.695,0.665,-0.511,-0.317,-0.563,-0.939,0.971
134,0.751,-0.955,-0.003,-0.901,0.745,-0.391,0.091,-0.831,-0.953,0.883
135,0.603,0.639,-0.209,-0.911,0.373,-0.955,-0.335,0.129,0.905,-0.433
136,0.041,-0.911,-0.063,0.099,-0.097,0.607,0.817,-0.623,-0.469,0.839
137,0.591,0.399,0.561,-0.413,-0.059,-0.749,-0.943,0.467,0.167,-0.441
138,-0.049,-0.173,0.533,-0.093,-0.349,0.107,-0.291,-0.269,-0.169,-0.097
139,0.901,0.273,-0.303,-0.753,-0.897,-0.923,-0.689,0.755,0.375,-0.265
140,-0.119,0.973,-0.905,-0.333,0.393,-0.575,0.411,0.571,0.861,-0.839
141,-0.453,-0.763,0.515,0.793,-0.517,0.677,-0.963,-0.915,-0.859,0.261
142,0.699,-0.433,0.557,-0.531,-0.115,-0.469,-0.163,0.189,-0.059,0.875
143,0.297,0.789,-0.087,-0.687,-0.147,-0.765,0.325,0.719,0.677,-0.249
144,-0.787,0.889,0.023,0.565,-0.289,0.113,0.535,0.721,0.969,-0.795
145,-0.611,-0.329,0.273,0.265,0.055,0.453,0.329,-0.961,-0.835,-0.275
146,-0.463,0.771,-0.657,0.469,-0.907,-0.151,0.003,0.907,0.243,-0.909
147,0.485,0.747,-0.693,-0.237,-0.141,-0.825,-0.735,0.383,-0.359,-0.559
148,-0.631,-0.683,-0.261,0.763,0.649,0.979,0.735,-0.789,-0.581,0.287
149,-0.915,-0.007,-0.959,0.179,-0.471,0.923,0.901,0.021,-0.175,0.341
150,-0.127,0.329,-0.673,0.711,0.881,-0.263,-0.751,0.717,0.925,-0.357
151,-0.509,-0.533,-0.355,0.155,-0.397,0.683,0.689,-0.633,-0.539,0.233
152,-0.389,0.139,0.051,0.461,0.413,0.341,0.061,0.501,0.249,0.229
153,0.931,0.143,0.347,-0.907,-0.105,-0.973,-0.467,0.953,0.817,0.463
154,-0.569,0.253,0.033,0.147,0.507,0.483,0.643,0.841,0.007,0.577
155,0.853,-0.289,0.369,-0.249,-0.069,-0.541,-0.225,0.741,0.291,0.891
156,0.843,0.547,0.803,-0.857,0.263,-0.935,-0.433,0.853,0.441,-0.115
157,-0.593,-0.391,0.173,-0.057,-0.901,0.593,0.257,-0.483,0.111,-0.271
158,-0.799,-0.249,-0.843,0.599,0.833,0.963,0.197,-0.783,-0.815,-0.717
159,-0.783,0.719,-0.513,0.471,0.699,0.271,0.075,0.265,0.945,-0.921
160,0.475,-0.851,-0.951,0.115,0.043,0.217,-0.823,-0.775,-0.837,0.669
161,-0.933,0.301,0.045,0.491,0.715,0.651,0.377,-0.385,-0.145,-0.937
162,0.839,-0.421,0.837,-0.589,0.501,-0.599,-0.181,-0.037,-0.073,0.687
163,-0.031,0.899,-0.273,-0.145,0.585,-0.597,-0.203,0.249,0.311,-0.825
164,0.579,-0.897,-0.837,-0.179,-0.657,-0.055,-0.423,-0.889,-0.981,0.649
165,0.425,0.177,0.607,0.053,0.143,-0.481,-0.987,0.429,-0.149,-0.209
166,0.707,-0.125,0.073,-0.733,-0.909,-0.871,-0.817,0.935,0.217,0.207
167,-0.763,-0.025,0.581,0.801,-0.723,0.583,0.167,-0.071,0.299,0.697
168,0.107,0.339,-0.393,-0.469,0.225,-0.409,0.353,0.373,-0.293,0.403
169,0.741,-0.389,-0.205,-0.515,-0.203,-0.455,0.117,0.071,-0.189,0.821
170,0.413,0.413,-0.145,-0.465,-0.991,-0.325,0.077,0.035,-0.205,-0.479
171,-0.371,0.291,0.379,-0.131,-0.815,0.001,-0.079,0.421,0.929,0.049
172,0.629,0.749,0.301,-0.697,0.421,-0.965,-0.377,0.929,0.775,-0.335
173,-0.191,-0.611,-0.501,0.949,-0.019,0.329,-0.171,-0.297,-0.229,0.957
174,0.647,-0.343,0.295,-0.577,-0.281,-0.367,0.437,0.163,-0.255,0.847
175,-0.433,-0.205,0.165,0.417,-0.313,0.461,-0.311,-0.389,-0.339,-0.339
176,-0.801,-0.447,-0.947,0.451,0.757,0.971,0.571,-0.061,0.403,0.131
177,0.131,-0.499,0.395,0.083,0.203,0.149,-0.275,-0.541,-0.983,0.209
178,-0.425,-0.325,-0.697,0.623,0.519,0.209,-0.775,-0.105,-0.195,-0.077
179,-0.379,-0.457,0.923,-0.241,-0.525,0.587,0.843,-0.637,-0.591,-0.409
180,0.249,-0.999,-0.195,-0.417,0.073,0.327,0.897,-0.951,-0.611,0.949
181,0.875,-0.313,0.511,-0.225,-0.577,-0.483,-0.727,0.847,0.989,0.513
182,-0.481,-0.281,0.159,0.837,-0.561,0.441,-0.537,-0.493,-0.397,0.367
183,0.353,0.993,0.459,-0.769,0.587,-0.851,0.699,0.863,0.541,-0.927
184,-0.141,-0.369,0.615,0.799,-0.037,0.179,-0.703,-0.099,-0.491,0.909
185,0.803,-0.525,-0.913,-0.253,0.417,-0.539,-0.701,0.567,-0.021,0.765
186,-0.125,0.935,0.965,-0.485,0.489,-0.753,0.129,0.597,0.767,-0.833
187,0.727,0.769,0.461,-0.407,0.845,-0.913,-0.385,0.949,0.559,-0.459
188,-0.497,0.153,0.229,0.235,-0.357,0.177,-0.443,-0.173,-0.413,-0.523
189,0.903,0.225,-0.601,-0.621,-0.893,-0.889,-0.531,0.693,0.325,-0.361
190,0.537,0.063,0.001,-0.197,0.959,-0.255,0.195,0.333,-0.077,0.339
191,-0.609,0.959,0.099,-0.301,0.093,-0.313,0.967,0.979,0.881,-0.259
192,-0.877,-0.061,-0.595,0.279,0.379,0.767,0.295,-0.153,-0.499,-0.323
193,-0.591,-0.885,-0.687,0.829,0.347,0.993,0.885,-0.681,-0.761,0.911
194,-0.181,0.259,-0.189,-0.011,0.425,-0.001,0.153,-0.175,-0.633,-0.141
195,-0.423,-0.485,-0.721,0.913,-0.993,0.563,-0.993,-0.407,-0.445,-0.217
196,-0.681,-0.211,-0.563,0.573,0.785,0.937,0.533,-0.569,-0.723,-0.539
197,0.229,0.029,-0.665,-0.177,0.221,-0.093,-0.037,-0.383,0.577,-0.113
198,0.515,-0.895,0.363,-0.519,0.051,-0.319,-0.351,-0.621,-0.283,0.885
199,-0.919,0.825,-0.461,0.187,0.111,0.397,0.883,0.555,0.815,-0.577
200,-0.893,-0.157,0.499,0.853,-0.861,0.797,-0.265,-0.503,0.097,-0.403
201,0.667,-0.961,-0.759,-0.737,0.477,0.219,0.589,-0.707,-0.695,0.851
202,-0.719,-0.521,-0.327,0.729,0.589,0.897,0.469,0.147,0.287,0.721
203,-0.993,0.637,0.601,0.925,0.985,0.743,0.711,0.731,0.963,-0.551
204,0.401,-0.023,-0.171,0.841,-0.121,-0.137,-0.601,0.601,0.211,0.391
205,0.405,0.495,0.069,-0.645,0.155,-0.349,0.765,-0.315,-0.677,-0.641
206,0.721,-0.881,-0.823,-0.609,-0.467,-0.361,-0.783,-0.909,-0.753,0.691
207,0.383,0.803,-0.309,-0.941,0.645,-0.977,-0.147,0.759,0.795,-0.311
208,0.829,-0.387,-0.131,-0.537,0.265,-0.293,0.417,-0.477,-0.941,0.117
209,-0.223,-0.441,0.027,-0.335,0.939,0.315,0.905,-0.603,-0.277,-0.015
210,0.837,0.535,-0.813,-0.265,-0.399,-0.907,-0.871,0.767,0.907,-0.675
211,-0.367,-0.939,-0.383,0.971,0.807,0.967,0.357,-0.729,-0.597,0.897
212,-0.245,-0.279,0.945,0.895,0.227,0.325,-0.755,0.123,0.241,0.077
213,0.981,-0.271,0.217,-0.909,-0.063,-0.891,-0.853,-0.145,0.073,0.357
214,0.455,-0.773,0.659,-0.899,0.123,-0.171,0.887,-0.647,-0.817,0.455
215,0.097,0.209,-0.117,-0.643,-0.095,-0.343,0.651,-0.305,0.067,-0.455
216,0.099,0.423,0.987,-0.917,-0.501,-0.489,0.413,-0.159,0.737,-0.647
217,0.987,-0.267,0.901,-0.707,0.817,-0.865,-0.981,0.019,-0.161,0.333
218,0.525,-0.101,0.693,-0.841,-0.697,-0.219,0.335,-0.135,-0.083,0.221
219,-0.953,0.937,-0.055,0.251,0.037,0.235,0.779,0.811,0.899,-0.389
220,0.911,-0.087,-0.749,-0.433,-0.263,-0.733,-0.373,0.589,-0.177,0.641
221,0.457,0.813,0.289,-0.543,0.465,-0.725,-0.043,0.395,0.429,-0.401
222,-0.329,-0.041,0.171,0.727,-0.751,0.223,-0.983,0.113,-0.535,-0.995
223,0.575,0.171,-0.555,-0.581,0.315,-0.699,-0.431,-0.141,0.457,-0.351
224,0.691,-0.637,0.087,-0.521,0.069,-0.295,-0.367,-0.529,-0.635,0.281
225,0.617,0.027,-0.407,-0.973,-0.957,-0.619,0.547,0.379,0.473,0.685
226,-0.691,-0.373,0.785,0.885,-0.485,0.687,-0.489,-0.573,-0.699,0.139
227,-0.697,-0.259,-0.471,0.307,0.457,0.831,0.545,-0.427,-0.215,-0.127
228,-0.003,-0.339,0.625,0.915,-0.303,0.459,-0.573,-0.509,-0.697,0.133
229,0.489,-0.703,0.341,0.041,0.253,-0.207,-0.571,-0.317,-0.419,0.737
230,0.835,0.281,0.853,-0.877,-0.715,-0.689,-0.319,0.607,0.563,-0.149
231,-0.639,0.061,0.571,0.305,-0.445,0.699,-0.005,0.251,0.377,0.249
232,-0.071,-0.161,-0.557,0.807,0.025,0.119,-0.475,-0.057,-0.547,0.523
233,-0.369,0.599,0.281,-0.091,0.091,0.039,0.477,-0.093,-0.015,-0.681
234,0.187,-0.091,-0.079,-0.619,-0.209,0.007,0.553,-0.849,-0.395,-0.661
235,-0.975,0.167,0.695,0.107,-0.261,0.833,0.851,0.243,0.305,0.539
236,0.171,0.249,-0.883,-0.373,0.483,-0.603,-0.503,-0.053,-0.553,-0.091
237,0.769,0.243,-0.507,-0.677,-0.527,-0.693,-0.639,-0.417,-0.343,-0.867
238,-0.843,0.961,-0.621,0.455,-0.451,0.155,0.693,0.733,0.635,-0.805
239,0.883,0.041,0.413,-0.779,0.027,-0.741,0.011,0.143,0.317,0.253
240,-0.699,-0.027,0.251,0.345,-0.053,0.661,0.957,-0.029,0.235,0.155
241,0.393,-0.825,-0.337,0.189,0.045,0.077,-0.293,-0.955,-0.745,0.503
242,0.947,-0.675,0.763,-0.731,0.621,-0.691,-0.867,-0.375,-0.171,0.823
243,0.999,-0.659,-0.529,-0.967,-0.677,-0.627,-0.391,-0.335,-0.103,0.983
244,-0.797,0.441,-0.007,0.635,-0.191,0.613,0.743,0.337,0.177,-0.003
245,0.021,-0.891,-0.713,0.229,0.001,0.769,0.319,-0.825,-0.655,0.973
246,-0.887,0.589,0.559,0.295,0.667,0.437,0.685,0.111,-0.685,-0.399
247,-0.613,-0.553,0.811,0.593,-0.785,0.863,0.595,-0.941,-0.901,-0.093
248,0.367,-0.251,0.631,0.211,-0.951,-0.075,-0.947,0.939,0.601,0.101
249,0.565,-0.899,-0.907,-0.045,-0.341,-0.077,-0.677,-0.895,-0.659,0.733
